event_id,customer_id,event_type,amount,payment_method,failure_reason,retry_count,previous_contact_count,customer_lifetime_value,previous_success_rate,customer_engagement,hours_since_event,event_timestamp
2fa052c6-5b2f-4828-880c-5c3b283b5c61,CUST_7912,payment_failure,2988.57,upi,insufficient_funds,0,5,112382.16,0.42,0.09,140,2026-08-19T19:03:59.322451
478d90da-e409-4ade-a349-eccbf48b0a40,CUST_7873,payment_failure,22254.48,card,authentication_failed,1,5,14241.45,0.6,0.7,167,2026-08-18T16:03:59.322451
78aba37f-f56d-444e-bb92-cefb2a325ba4,CUST_6514,subscription_failure,81038.33,upi,mandate_failed,3,2,403103.81,0.21,0.16,72,2026-08-22T15:03:59.322451
cf85a97b-14cb-4808-91ea-6ee8f008af01,CUST_7201,overdue_invoice,10123.28,upi,cash_flow_issue,0,5,302259.29,0.88,0.54,118,2026-08-20T17:03:59.322451
43ec65d9-fc35-4bda-8f39-6bbdb0a138a6,CUST_2654,subscription_failure,57946.54,wallet,card_expired,1,2,23866.37,0.76,0.86,21,2026-08-24T18:03:59.322451
d9944903-30f3-44ae-9ce2-f0dec5d6c506,CUST_2169,overdue_invoice,63750.6,card,invoice_dispute,1,5,185720.3,0.49,0.7,69,2026-08-22T18:03:59.322451
661d2ced-3235-4474-ae9e-0e530b0b2470,CUST_1916,checkout_abandonment,46494.89,card,high_friction,4,1,462770.2,0.42,0.84,84,2026-08-22T03:03:59.322451
b747f33d-e599-49cd-8f72-aa1e5ba15cb3,CUST_9179,subscription_failure,40415.9,wallet,authentication_failed,4,5,456654.93,0.25,0.21,81,2026-08-22T06:03:59.322451
bdc79e46-199a-4d2d-9dbf-c1f5e2fac591,CUST_7543,checkout_abandonment,26855.58,netbanking,payment_method_unavailable,2,5,281122.7,0.4,0.43,150,2026-08-19T09:03:59.322451
314f9ea4-5a66-40f1-8e48-258f54305670,CUST_7916,checkout_abandonment,51197.87,upi,unknown,0,1,24511.07,0.27,0.16,161,2026-08-18T22:03:59.322451
de524d60-6c0e-480e-948e-7c8871b3b5f5,CUST_9797,overdue_invoice,59790.9,netbanking,cash_flow_issue,4,0,126455.65,0.57,0.68,30,2026-08-24T09:03:59.322451
