event_id,event_type,failure_reason,amount,retry_count,previous_contact_count,customer_lifetime_value,previous_success_rate,customer_engagement,hours_since_event,action,success,recovered_amount
af9a8607-65fc-412a-9f7f-6ed3d6100a7a,subscription_failure,authentication_failed,58404.58,0,5,423736.5,0.9,0.63,118.0,RETRY_NOW,0,0.0
af9a8607-65fc-412a-9f7f-6ed3d6100a7a,subscription_failure,authentication_failed,58404.58,0,5,423736.5,0.9,0.63,118.0,RETRY_LATER,1,58404.58
af9a8607-65fc-412a-9f7f-6ed3d6100a7a,subscription_failure,authentication_failed,58404.58,0,5,423736.5,0.9,0.63,118.0,SEND_REMINDER,1,58404.58
af9a8607-65fc-412a-9f7f-6ed3d6100a7a,subscription_failure,authentication_failed,58404.58,0,5,423736.5,0.9,0.63,118.0,SUGGEST_ALTERNATIVE_PAYMENT,1,58404.58
af9a8607-65fc-412a-9f7f-6ed3d6100a7a,subscription_failure,authentication_failed,58404.58,0,5,423736.5,0.9,0.63,118.0,OFFER_INCENTIVE,0,0.0
af9a8607-65fc-412a-9f7f-6ed3d6100a7a,subscription_failure,authentication_failed,58404.58,0,5,423736.5,0.9,0.63,118.0,ESCALATE_TO_HUMAN,1,58404.58
92a5878f-b5da-4cda-aa85-c0397dbbba80,payment_failure,temporary_bank_failure,15638.86,0,2,12043.31,0.98,0.13,69.0,RETRY_NOW,1,15638.86
92a5878f-b5da-4cda-aa85-c0397dbbba80,payment_failure,temporary_bank_failure,15638.86,0,2,12043.31,0.98,0.13,69.0,RETRY_LATER,1,15638.86
92a5878f-b5da-4cda-aa85-c0397dbbba80,payment_failure,temporary_bank_failure,15638.86,0,2,12043.31,0.98,0.13,69.0,SEND_REMINDER,0,0.0
92a5878f-b5da-4cda-aa85-c0397dbbba80,payment_failure,temporary_bank_failure,15638.86,0,2,12043.31,0.98,0.13,69.0,SUGGEST_ALTERNATIVE_PAYMENT,1,15638.86
92a5878f-b5da-4cda-aa85-c0397dbbba80,payment_failure,temporary_bank_failure,15638.86,0,2,12043.31,0.98,0.13,69.0,OFFER_INCENTIVE,1,15638.86
92a5878f-b5da-4cda-aa85-c0397dbbba80,payment_failure,temporary_bank_failure,15638.86,0,2,12043.31,0.98,0.13,69.0,ESCALATE_TO_HUMAN,1,15638.86
89266f81-bc24-415d-bc67-a31a5b37d83b,checkout_abandonment,high_friction,53860.43,3,1,92560.53,0.31,0.44,20.0,RETRY_NOW,0,0.0
89266f81-bc24-415d-bc67-a31a5b37d83b,checkout_abandonment,high_friction,53860.43,3,1,92560.53,0.31,0.44,20.0,RETRY_LATER,1,53860.43
