event_id,customer_id,event_type,amount,payment_method,failure_reason,retry_count,previous_contact_count,customer_lifetime_value,previous_success_rate,customer_engagement,hours_since_event,event_timestamp
0c0486ef-6cab-4d89-ab4d-bedd30e16f48,CUST_4218,overdue_invoice,83083.36,card,cash_flow_issue,2,4,352609.91,0.93,0.74,140,2026-08-19T19:03:59.324440
7a16e109-ebb9-466a-a446-b402b106d5d2,CUST_7561,overdue_invoice,33664.19,upi,forgotten_invoice,2,3,429008.81,0.74,0.29,127,2026-08-20T08:03:59.322451
df3b35a7-b1be-44a9-a868-4fd78cc457de,CUST_9970,payment_failure,55575.66,upi,technical_error,0,4,62494.34,0.64,0.39,153,2026-08-19T06:03:59.324440
2dbd9d57-610a-4720-8246-52fd7fcfa1e6,CUST_8372,overdue_invoice,52806.72,wallet,cash_flow_issue,0,1,411846.36,0.82,0.64,82,2026-08-22T05:03:59.323442
6cba2789-3567-4b16-aba0-d61ba150b7ab,CUST_2323,payment_failure,6552.13,netbanking,payment_timeout,0,3,201407.01,0.58,0.07,114,2026-08-20T21:03:59.323442
cbc4dd91-e470-4204-97da-1f56591ad7dd,CUST_3135,payment_failure,18153.51,upi,authentication_failed,4,4,300307.08,0.92,0.09,31,2026-08-24T08:03:59.325439
d6e43fc0-39cb-466e-bb63-1d16f1d7353c,CUST_4842,subscription_failure,10271.14,upi,card_expired,2,2,244108.01,0.78,0.67,33,2026-08-24T06:03:59.324440
bad6ad75-1ebf-4f5e-9066-720896d020c9,CUST_6626,checkout_abandonment,32491.91,upi,payment_method_unavailable,0,3,76279.68,0.58,0.81,27,2026-08-24T12:03:59.323442
45ebab9c-e8f7-4b76-b869-799f7b15f898,CUST_9922,payment_failure,68894.8,card,temporary_bank_failure,4,5,394126.19,0.94,0.43,51,2026-08-23T12:03:59.322451
e2188be3-c566-47a7-88f0-20a580e422de,CUST_2728,checkout_abandonment,52856.11,netbanking,unknown,1,4,313037.2,0.4,0.42,143,2026-08-19T16:03:59.325439
314f9ea4-5a66-40f1-8e48-258f54305670,CUST_7916,checkout_abandonment,51197.87,upi,unknown,0,1,24511.07,0.27,0.16,161,2026-08-18T22:03:59.322451
bfa1d565-e30f-4f95-af13-daee43edf912,CUST_3541,subscription_failure,46568.89,netbanking,insufficient_funds,3,1,212639.89,0.78,0.46,64,2026-08-22T23:03:59.323442
3a304565-bc1b-443b-b258-057b3eca79d5,CUST_5098,payment_failure,56083.76,wallet,authentication_failed,0,4,170642.98,0.6,0.88,66,2026-08-22T21:03:59.325439
0ebcc6fa-5d77-4816-abdc-73be101993be,CUST_2612,overdue_invoice,87302.11,upi,forgotten_invoice,2,1,35141.95,0.23,0.43,24,2026-08-24T15:03:59.322451
cd4fbc8f-de76-4c2c-a59b-a14438238c41,CUST_2036,overdue_invoice,45387.0,upi,customer_delay,3,5,158885.72,0.52,0.53,31,2026-08-24T08:03:59.324440
01e83000-4c15-4e37-9466-864d72bec25a,CUST_5600,overdue_invoice,88773.61,card,invoice_dispute,3,1,441135.09,0.21,0.08,59,2026-08-23T04:03:59.325439
1ab09dbc-bbc9-46ca-929c-a0bb84471396,CUST_4171,overdue_invoice,52210.73,upi,customer_delay,1,4,246759.72,0.71,0.71,60,2026-08-23T03:03:59.325439
1c5bee39-2c10-42a8-9b0d-33d9b6a56923,CUST_8041,payment_failure,94532.57,card,insufficient_funds,0,2,75378.09,0.75,0.55,150,2026-08-19T09:03:59.322451
8e76eda8-f0ca-4519-a2f3-65c87e1eb5ca,CUST_4387,subscription_failure,3231.32,netbanking,authentication_failed,1,1,427056.84,0.24,0.23,166,2026-08-18T17:03:59.324440
2668e3e4-b657-444e-91c4-60109a2d4491,CUST_9462,subscription_failure,7221.65,upi,card_expired,1,2,497104.82,0.71,0.96,106,2026-08-21T05:03:59.325439
7a23aada-33f0-4f77-99d4-23fae81ac265,CUST_5889,checkout_abandonment,5978.86,netbanking,high_friction,0,5,73541.83,0.48,0.84,148,2026-08-19T11:03:59.325439
2c82034a-fe79-4023-8a42-101de75600ae,CUST_3906,payment_failure,11334.32,wallet,payment_timeout,2,4,81506.28,0.99,0.57,153,2026-08-19T06:03:59.325439
cd46afa8-8ca9-452d-bd07-2862973bb336,CUST_2228,overdue_invoice,37537.85,upi,customer_delay,4,4,322697.82,0.7,0.92,67,2026-08-22T20:03:59.324440
27fe37a4-dd49-4401-a2da-0ada46442c4b,CUST_3913,checkout_abandonment,21366.41,netbanking,high_friction,1,5,343619.04,0.77,0.98,167,2026-08-18T16:03:59.324440
71c66ccc-cced-4c4d-bd23-de16789ff2b2,CUST_1224,overdue_invoice,12581.9,wallet,customer_delay,1,5,304826.96,0.98,0.31,41,2026-08-23T22:03:59.322451
14fa1d57-cfb8-46de-ad98-891663ea4d88,CUST_9589,overdue_invoice,56149.97,card,invoice_dispute,1,4,326471.97,0.59,1.0,158,2026-08-19T01:03:59.325439
9a8ccb87-e9bb-47b9-bc4e-34aee7f922e5,CUST_6307,checkout_abandonment,1624.08,upi,high_friction,0,2,141531.72,0.36,0.51,77,2026-08-22T10:03:59.325439
6e57ccb6-6df5-40c2-9cf8-1bace44c677d,CUST_1519,payment_failure,37618.63,upi,authentication_failed,1,2,282936.09,0.52,0.65,21,2026-08-24T18:03:59.323442
13cf154b-2cf2-4f9f-a282-2b81109d13dc,CUST_1422,payment_failure,28088.85,card,insufficient_funds,4,2,493776.12,0.99,0.11,45,2026-08-23T18:03:59.323442
bfa5cc1e-095c-4e42-a027-732a7b58b64c,CUST_3508,payment_failure,5299.39,card,insufficient_funds,0,4,222712.83,0.29,0.47,65,2026-08-22T22:03:59.324440
bc8d257a-6936-4305-accc-98ec01fd2140,CUST_5485,checkout_abandonment,72844.41,card,payment_method_unavailable,3,3,440185.82,0.81,0.44,78,2026-08-22T09:03:59.325439
aef2f1c2-48f1-4e07-95ab-d9020dc011e6,CUST_7713,payment_failure,78583.63,netbanking,temporary_bank_failure,2,4,304891.9,0.6,0.36,52,2026-08-23T11:03:59.324440
7bb9e0e4-75fc-4e0b-873e-9f0f18cb2ed1,CUST_9787,checkout_abandonment,16191.0,upi,payment_method_unavailable,0,0,309703.78,0.27,0.64,92,2026-08-21T19:03:59.325439
d867071e-6355-47b4-b2b2-be50e6dd8fad,CUST_2020,overdue_invoice,31712.4,card,invoice_dispute,3,4,345559.63,0.32,0.92,157,2026-08-19T02:03:59.323442
78aba37f-f56d-444e-bb92-cefb2a325ba4,CUST_6514,subscription_failure,81038.33,upi,mandate_failed,3,2,403103.81,0.21,0.16,72,2026-08-22T15:03:59.322451
c105869d-3c00-431c-bb01-9d311d6e955f,CUST_1796,checkout_abandonment,12754.62,upi,high_friction,3,5,396271.45,0.77,0.77,66,2026-08-22T21:03:59.324440
eb4ede6a-daef-44db-ad92-08fdc9d853f6,CUST_8807,checkout_abandonment,29085.31,netbanking,price_hesitation,2,0,374645.28,0.52,0.93,142,2026-08-19T17:03:59.325439
957b9a30-fef1-45da-bfd6-433aed6081f7,CUST_8078,subscription_failure,70123.5,netbanking,card_expired,3,3,250735.62,0.95,0.6,21,2026-08-24T18:03:59.322451
